stars,comment
5.0 out of 5 stars,"







  
  
    I started using this for my baby when she was 7 months old. And I find it very useful for her eye concentration, speach development, knowledge, fun time, etc.
  
"
5.0 out of 5 stars,"







  
  
    My son just loved the library concept, loved to have his own set on his table. Good quality of print and pictures fascinated him to learn and its very easy to handle
  
"
4.0 out of 5 stars,"







  
  
    it's very helpful for the kids age 1.5 years and above. To recognize diffrent things. Particularly the book shapes out of 10 diffrent book for initial stage not useful.  Ang suggest for some of the pictorial represntation need to change atleast for begginer.
  
"
5.0 out of 5 stars,"







  
  
    Good option to buy for the kids
  
"
5.0 out of 5 stars,"







  
  
    Useful for my baby 👶
  
"
5.0 out of 5 stars,"







  
  
    This book is wonderful for babies above 10 months to 3 years. A complete collection of knowledge to our kids. Very neat. Real time pictures. Overall I loved these books.
  
"
4.0 out of 5 stars,"







  
  
    Expected bigger size books
  
"
5.0 out of 5 stars,"







  
  
    My baby like it.
  
"
4.0 out of 5 stars,"







  
  
    Its looks are grand and quality good.
  
"
4.0 out of 5 stars,
